title,type,genres,imdb_score,tmdb_popularity
A Nightmare on Elm Street,MOVIE,"['horror', 'thriller', 'crime', 'drama']",5.2,39.672
Winx Club,SHOW,"['animation', 'action', 'comedy', 'family', 'fantasy', 'thriller', 'european']",6.2,25.633
Miss Congeniality 2: Armed and Fabulous,MOVIE,"['action', 'comedy', 'crime']",5.1,21.495
The Bucket List,MOVIE,"['drama', 'comedy', 'european']",7.4,22.0
Octonauts,SHOW,"['action', 'animation', 'comedy', 'family']",7.6,40.327
Sonic X,SHOW,"['family', 'animation', 'action', 'comedy', 'drama', 'thriller', 'fantasy', 'scifi']",6.2,37.945
Scary Movie 4,MOVIE,"['comedy', 'horror']",5.1,83.018
The Sweetest Thing,MOVIE,"['comedy', 'romance']",5.1,10.625
How Do You Know,MOVIE,"['comedy', 'drama', 'romance']",5.4,9.889
Mr. Bean's Holiday,MOVIE,"['family', 'comedy', 'european']",6.4,32.512
The Interpreter,MOVIE,"['thriller', 'crime', 'european']",6.4,12.694
John Q,MOVIE,"['drama', 'thriller', 'crime']",7.0,32.229
3 Idiots,MOVIE,"['drama', 'comedy']",8.4,44.999
The One,MOVIE,"['thriller', 'action', 'scifi']",5.9,21.223
H2O: Just Add Water,SHOW,"['scifi', 'drama', 'family', 'fantasy']",7.2,30.832
The Texas Chainsaw Massacre,MOVIE,"['horror', 'crime']",6.2,80.47
Still Game,SHOW,"['comedy', 'european']",8.9,5.128
The Cat in the Hat,MOVIE,"['family', 'fantasy', 'comedy', 'action']",4.0,66.8
Tears of the Sun,MOVIE,"['war', 'action', 'drama', 'thriller']",6.6,43.254
Due Date,MOVIE,"['comedy', 'drama']",6.5,36.06
Black Butler,SHOW,"['scifi', 'animation', 'drama', 'thriller', 'comedy', 'fantasy', 'action', 'horror', 'crime']",8.2,36.122
We Are Marshall,MOVIE,"['drama', 'sport']",7.0,13.173
Blood and Bone,MOVIE,"['thriller', 'sport', 'action', 'crime', 'drama']",6.7,33.787
Freddy vs. Jason,MOVIE,"['horror', 'action']",5.7,65.747
The Golden Compass,MOVIE,"['action', 'fantasy', 'family']",6.1,20.255
